"","name","subset","x","cond","i","estimate","lower.CI","upper.CI"
"1","w10.Both","Positive",10,"Both",12,0.0706964725022673,0.0205575914917341,0.111086406594548
"4","w20.Both","Positive",20,"Both",13,0.122219606639478,0.0622100789078674,0.174980556216791
"9","w50.Both","Positive",50,"Both",14,0.26203413298256,0.173615393504182,0.32998192150671
"2","w100.Both","Positive",100,"Both",15,0.516518584156863,0.416730803156319,0.649130946880312
"3","w100.Both","Uniform",100,"Both",15,0.233899395282768,0.157501101009407,0.310621826539678
"5","w200.Both","Positive",200,"Both",16,0.649137958742719,0.592469912004172,0.724405664931492
"6","w200.Both","Uniform",200,"Both",16,0.419798476194906,0.298839321478617,0.511889128543828
"7","w300.Both","Uniform",300,"Both",17,0.648449400603071,0.526652348546749,0.746723796205494
"8","w400.Both","Uniform",400,"Both",18,0.84595149997712,0.769094097375003,0.910564292330949
"10","w500.Both","Positive",500,"Both",19,1,1,1
"11","w500.Both","Uniform",500,"Both",19,1,1,1
